source_id,work_order,opened_local,closed_local,asset_tag_recorded,actual_asset_if_corrected,summary,failure_code,work_type,priority,technician,status,labor_hours,downtime_minutes,parts_claimed,findings_text,follow_up_text
WO-001,WO-57188,2026-01-28 06:42,2026-01-28 08:05,RF-4101,RF-4101,Filler intermittent F17 low pilot-air alarm during start-up,PNEU-LOW-AIR,breakdown,2,JM,closed,1.3,22,none,Plant header seen at 6.4 bar on wall gauge. Local regulator not checked because guard key unavailable. Cleared alarm and restarted.,Check PP-4101 regulator at next stop.
WO-002,WO-57203,2026-01-30 13:10,2026-01-30 14:25,P-4102,P-4102,Product pump rattling near coupling guard,MECH-NOISE,breakdown,2,AW,closed,1.2,18,none,Coupling guard removed. Red spider shows edge dust but no missing lugs. Pump run at 42 Hz sounded acceptable.,Add vibration route point to weekly check.
WO-003,WO-57216,2026-02-02 05:55,2026-02-02 07:20,DV-4103,DV-4103,Reject diverter slow to return after sanitation,PNEU-SLOW-STROKE,breakdown,2,RC,closed,1.4,31,none,Cylinder returns after 620 ms on manual test. Oiled guide rods and cycled ten times; final stroke 420 ms. No pressure reading taken at FRL outlet.,Replace muffler if slow return repeats.
WO-004,WO-57220,2026-02-02 10:18,2026-02-02 11:04,PHE-4104,PHE-4104,Temperature controller hunting at filler inlet,PROC-TEMP-HUNT,inspection,3,LT,closed,0.6,0,none,Product side differential pressure read from panel as 0.68 bar at 16.2 m3/h. Near clean-in-place review value but not over 0.70 bar.,Trend PHE differential after weekly clean.
WO-005,WO-57231,2026-02-03 18:34,2026-02-03 21:12,P-4102,P-4102,High vibration and intermittent seal drip at product transfer pump,MECH-VIB-SEAL,breakdown,1,JM,closed,2.3,47,1 x red coupling spider RS-90,Guard dust heavy. Spider changed. Seal drip reduced but still wet after 8 min at 49 Hz. No alignment check done because filler restart was requested.,Create follow-up for laser alignment and seal inspection.
WO-006,WO-57238,2026-02-04 06:12,2026-02-04 07:40,RF-4011,RF-4101,F17 low pilot-air alarm stops filler on first start,PNEU-LOW-AIR,breakdown,1,RC,closed,1.0,36,none,Asset selected from old import. Actual machine is RF-4101. Header gauge 6.5 bar. No drain from FRL bowl recorded. Restarted after speed reduced to 190 bottles/min.,"Verify local regulator outlet during running fault, not static."
WO-007,WO-57244,2026-02-05 09:05,2026-02-05 10:35,ST-4102,ST-4102,Temporary product flow loss at filler inlet,PROC-LOW-FLOW,inspection,2,LT,closed,1.1,12,basket gasket BG-76,"Strainer opened. Basket had label fragments and pulp film. Cleaned and returned. No suction gauge fitted, so differential pressure not measured. Flow improved from 14.1 to 16.4 m3/h at 48 Hz.",Fit temporary suction gauge if noise returns.
WO-008,WO-57250,2026-02-06 15:30,2026-02-06 16:10,FRL-4103,FRL-4103,Drain local regulator bowl after water seen in lower sight glass,PNEU-WATER,corrective,2,AW,closed,0.5,0,none,Approx 35 ml water and white debris drained from bowl. Outlet pressure set by memory to 5.4 bar; no calibrated gauge used.,Order filter element and fit at next planned stop.
WO-009,WO-57258,2026-02-07 00:18,2026-02-07 01:06,RF-4101,RF-4101,Filler stopped after reject gate failed to clear,PNEU-SLOW-STROKE,breakdown,1,JM,closed,0.8,40,none,Operator reported plant air okay. Manual cycle of DV-4103 sluggish. Restart after two purge cycles. No part changed.,Compare event to local pressure trend from PP-4101.
WO-010,WO-57263,2026-02-07 08:45,2026-02-07 10:12,PG-4102-S,PG-4102-S,Fit temporary suction pressure gauge at product pump strainer outlet,INST-TEMP-GAUGE,improvement,3,LT,closed,1.2,0,1 x glycerine gauge WIKA-0126-44; 1 x tri-clamp adaptor,Gauge fitted downstream of ST-4102. Baseline at 48 Hz after start: -0.18 bar. Marked gauge with date and route note.,Remove after diagnosis or replace with permanent differential pressure instrument.
WO-011,WO-57270,2026-02-08 11:10,2026-02-08 12:22,P-4102,P-4102,Pump DE bearing housing hot during production,MECH-BEARING-TEMP,inspection,2,AW,closed,1.0,0,none,Handheld infrared at guard window read 62 C. Historian display showed filler bearing 81 C but location not verified. No action taken.,Reliability to confirm TT-4102-DE tag mapping.
WO-012,WO-57278,2026-02-09 14:48,2026-02-09 16:30,DV-4103,DV-4103,Reject/diverter valve slow return and intermittent false reject count,PNEU-SLOW-STROKE,breakdown,1,RC,closed,1.4,26,silencer M5 x 2,"Mufflers replaced. Stroke still 510 ms at 5.0 bar local reading, but 350 ms at 5.7 bar when regulator bypassed for test.",FRL filter element or regulator seat suspected.
WO-013,WO-57291,2026-02-10 07:25,2026-02-10 15:55,P-4102,P-4102,Replace pump mechanical seal due product drip,MECH-SEAL-LEAK,corrective,1,JM,closed complete,4.5,88,seal kit SK-65-160-CARB-SIC listed in close-out,Close-out text says seal replaced and drip stopped. Technician initials absent on completion tab. Permit close time 09:15 conflicts with recorded closure at 15:55.,Verify physical seal condition and inventory issue before accepting as completed.
WO-014,WO-57294,2026-02-10 12:40,2026-02-10 13:05,P-4102,P-4102,Stage pump seal kit and isolate pump for repair,MECH-SEAL-LEAK,planned corrective,2,AW,cancelled as duplicate,0.2,0,none,Comment states kit staged on bench but not installed because production restart overrode job. Cancelled because WO-57291 was open.,Do not use this cancelled status as proof the seal was fitted.
WO-015,WO-57299,2026-02-11 04:50,2026-02-11 05:30,P-4102,P-4102,Wet floor under pump guard at start of early shift,MECH-SEAL-LEAK,breakdown,1,JM,closed,0.6,15,none,Small drip visible at seal flush groove. Wiped clean and restarted at 46 Hz to get line running.,Seal replacement not evident from visual condition.
WO-016,WO-57302,2026-02-11 21:05,2026-02-11 23:10,M-4102,CPL-4102,Laser alignment after motor shift mark found on base,MECH-ALIGNMENT,inspection,2,contractor MR,closed pass,2.0,0,none,Final report attached. CMMS close-out says within tolerance. Report body shows 0.12 mm horizontal offset and -0.09 mm/100 mm angular at coupling.,Compare report to OEM pump tolerance before accepting pass.
