source_id,part_number,description,compatible_asset_tags,store_bin,transaction_date,transaction_type,quantity,unit,linked_work_order,requested_by,issued_to_or_received_from,lot_or_po,notes
INV-001,RS-90-RED,"red jaw coupling spider, 90 Shore A",CPL-4102,M-12-C,2026-02-03 20:05,issue,1,each,WO-57231,JM,Line 4 pump bench,LOT-RS90-115,Matches CMMS claim for spider change.
INV-002,SK-65-160-CARB-SIC,"mechanical seal kit, carbon versus silicon carbide, EPDM",P-4102,M-04-A,2026-02-10 08:00,stock count,0,each,,stores,stores count,,No stock available at morning count despite WO-57291 later listing this kit.
INV-003,SK-65-160-CARB-SIC,"mechanical seal kit, carbon versus silicon carbide, EPDM",P-4102,M-04-A,2026-02-10 12:15,reservation,1,each,WO-57294,AW,not issued,PO-78118 due 2026-02-15,"Reservation created for staged repair, but no physical kit on site."
INV-004,SK-65-160-CARB-SIC,"mechanical seal kit, carbon versus silicon carbide, EPDM",P-4102,M-04-A,2026-02-15 09:20,receipt,2,each,,stores,MechSeal Supplies,"PO-78118, lot MS260214",First actual receipt after the claimed 2026-02-10 seal replacement.
INV-005,SK-65-160-CARB-SIC,"mechanical seal kit, carbon versus silicon carbide, EPDM",P-4102,M-04-A,2026-02-16 06:50,issue,1,each,WO-57358,JM,Line 4 pump bench,MS260214,Actual seal issue occurred after the evidence window.
INV-006,SK-65-160-TC-SIC,"mechanical seal kit, tungsten carbide versus silicon carbide, FKM",old P-4102 wet-end only,M-04-B,2026-02-10 13:25,issue reversal,1,each,WO-57291,stores,returned to store,LOT-TC-092,"Wrong seal kit scanned, then reversed. Should not be counted as fitted to P-4102."
INV-007,BG-76,tri-clamp basket strainer gasket 76 mm EPDM,ST-4102,P-08-D,2026-02-05 09:50,issue,1,each,WO-57244,LT,Line 4 process area,LOT-BG76-42,Used during first strainer clean.
INV-008,BG-76,tri-clamp basket strainer gasket 76 mm EPDM,ST-4102,P-08-D,2026-02-13 09:30,issue,1,each,WO-57323,LT,Line 4 process area,LOT-BG76-42,Used during second strainer clean; confirms strainer opened on 2026-02-13.
INV-009,E-AW40-40M,SMC AW40 40 micron filter element,FRL-4103,A-02-B,2026-02-06 16:00,reservation,1,each,WO-57250,AW,not issued,LOT-AW40-55,Element was requested but not fitted during bowl-drain-only job.
INV-010,E-AW40-40M,SMC AW40 40 micron filter element,FRL-4103,A-02-B,2026-02-13 06:55,issue,1,each,WO-57319,RC,PP-4101 panel,LOT-AW40-55,Actual filter element issue for confirmed repair.
INV-011,V61-SPOOL-KIT,Norgren V61 spool rebuild kit,DV-4103,A-05-C,2026-02-09 15:10,stock count,2,sets,,stores,stores count,LOT-V61-31,Available but not issued during the fault window.
INV-012,M5-SIL-BRASS,M5 pneumatic exhaust silencer,DV-4103,A-04-A,2026-02-09 15:05,issue,2,each,WO-57278,RC,Line 4 filler,LOT-M5-81,"CMMS muffler replacement confirmed, but stroke remained slow at low pressure."
INV-013,6206-2RS-C3,pump drive-end bearing,P-4102,M-07-D,2026-02-08 12:00,stock count,4,each,,stores,stores count,LOT-6206-97,No bearing issued during evidence window.
INV-014,SHIM-SS-050,stainless shim 0.50 mm pack,M-4102 base,M-15-A,2026-02-11 21:50,issue,2,packs,WO-57302,contractor MR,Line 4 pump plinth,LOT-SHIM-12,"Confirms alignment work occurred, but not that final result met OEM tolerance."
INV-015,GAS-EPDM-PHE45,PHE T45 EPDM plate gasket,PHE-4104,P-03-C,2026-02-12 17:00,stock count,30,each,,stores,stores count,LOT-PHE-12,No PHE gasket work was done during mini-CIP.
