source_id,asset_tag,asset_name,equipment_group,make_model,serial_or_body_no,location,criticality,design_or_service_value,drive_or_supply,installed_or_verified_date,register_owner,known_revision_issue,maintenance_note
AR-001,P-4102,Product transfer centrifugal pump,rinser to filler transfer,Kestrel KCP-65-160 close-coupled wet-end on frame adaptor,KC65-160-19-4472,Line 4 pump plinth south side,A,nominal 18.0 m3/h at 28 m head; impeller recorded as 138 mm,"M-4102, VFD, normal command 48.0 to 50.0 Hz",verified 2025-11-18,maintenance planner,impeller diameter not rechecked after May 2025 wet-end exchange,Use pump curve in PC-4102 before judging flow shortfall.
AR-002,M-4102,Pump drive motor,rinser to filler transfer,"Brook Crompton W-DF160M, 7.5 kW, 2 pole, IE3",BC160M-2219-07,Line 4 pump plinth south side,A,"400 V, FLA 14.6 A, service factor 1.15",VFD-4102 Danfoss FC-102,motor replaced 2025-12-06,electrical maintenance,CMMS still links old motor serial BC160M-1877 on some work orders,Motor swap triggered an alignment check requirement within 72 operating hours.
AR-003,CPL-4102,Pump-motor jaw coupling,rinser to filler transfer,"Rex Omega equivalent, 28 mm by 38 mm hubs, red elastomer spider",no serial,between P-4102 and M-4102,A,max parallel offset per OEM excerpt: 0.05 mm cold for this speed class,mechanical,verified 2025-12-06,maintenance planner,"general site tolerance sheet allows 0.15 mm, but OEM excerpt is stricter",Do not use the general tolerance sheet where OEM pump tolerance is available.
AR-004,ST-4102,Pump suction basket strainer,rinser to filler transfer,"Tri-clamp 20 mesh basket, 76 mm body",ST76-20-214,immediately upstream of P-4102 suction spool,A,clean differential below 0.10 bar; action above 0.25 bar,process line,verified 2025-09-02,process maintenance,no installed differential gauge until temporary gauge fitted 2026-02-07,Operator notes before 2026-02-07 estimate strainer condition by noise only.
AR-005,PHE-4104,Plate heat exchanger,product temperature control,"Thermoplate T45, 54 plates, EPDM gaskets",T45-54-7721,Line 4 thermal skid,B,normal product side pressure drop 0.35 to 0.55 bar at 18 m3/h; clean-in-place review above 0.70 bar,process line,verified 2025-11-18,utilities engineer,plate count changed from 52 to 54 in 2025; old drawings remain in shift binder,High differential pressure can reduce transfer rate but does not explain local pneumatic faults.
AR-006,RF-4101,Rotary filler carousel,filler,"FillPro RF36, 36 valve, cam lifted",RF36-09-118,Line 4 filler enclosure,A,rated 230 bottles/min at 330 ml; low-air inhibit at 4.8 bar pilot pressure,"400 V drive, local pneumatic panel PP-4101",verified 2026-01-05,packaging maintenance,some trends call the filler RF-4011 after an old Line 1 import,Fault code F17 refers to low pilot-air pressure at the filler valve bank.
AR-007,DV-4103,Pneumatic reject/diverter valve,filler discharge reject,Norgren V61 spool with spring return actuator,V61-4103-22,"discharge conveyor side guard, after filler starwheel",A,required pilot pressure 5.0 to 6.2 bar; healthy full stroke below 360 ms,from FRL-4103 downstream of PP-4101,verified 2025-10-14,packaging maintenance,CMMS sometimes books this valve under RF-4101 instead of DV-4103,"Slow stroke with normal header pressure points to local regulator, water, tubing, or spool drag."
AR-008,FRL-4103,Local filter regulator assembly for DV-4103 and filler valve bank,filler pneumatic panel,SMC AW40-F04G with 40 micron bowl,AW40-4103-03,inside PP-4101 lower left rail,A,outlet setpoint 5.6 bar; drain bowl at start of every shift,plant air header A4-2,verified 2025-10-14,packaging maintenance,no preventive work order for bowl drain after 2025-12-31,Bowl staining noted during week 6 handover.
AR-009,TT-4102-DE,Pump drive-end bearing temperature point,condition monitoring,Pt100 housing contact probe via VIB-4102,PT100-8841,P-4102 drive-end bearing housing,A,warning 75 C; shutdown review 85 C after 10 min at steady speed,condition monitoring panel,verified 2025-12-09,reliability technician,trend label displayed as filler bearing for six days after historian import,"Use location field and source ID, not the historian display label, to assign the temperature."
AR-010,VT-4102-H,Pump horizontal vibration route point,condition monitoring,route measurement point on P-4102 drive-end housing,route point only,P-4102 drive-end horizontal,A,site alert 4.5 mm/s RMS; site alarm 7.1 mm/s RMS for this pump class,portable analyser route,route refreshed 2026-01-09,reliability technician,threshold does not diagnose cause by itself,Use spectrum notes in VIB-4102 to distinguish 1x alignment from broadband bearing damage.
AR-011,PG-4102-S,Temporary suction pressure gauge,rinser to filler transfer,Wika 0 to -1 bar glycerine gauge,WIKA-0126-44,fitted to ST-4102 outlet tapping,B,used only from 2026-02-07 to 2026-02-13,mechanical gauge,temporary fit 2026-02-07,maintenance technician,"readings before fit date are operator estimates, not measured values",Do not backfill suction pressure before the temporary gauge was fitted.
AR-012,PP-4101,Filler pneumatic panel,filler,"stainless enclosure, regulator rail and solenoid island",PP4101-REV2,filler enclosure north cabinet,A,panel supply 6.0 to 6.8 bar; local branch alarm below 5.0 bar,plant air header A4-2,verified 2026-01-05,packaging maintenance,panel pressure and plant header pressure are logged on separate channels,A normal plant header does not prove local pilot pressure is adequate.
