source_id,timestamp_local,asset_tag,route_point,axis,speed_hz,flow_m3h,velocity_mm_s_rms,dominant_frequency,acceleration_g_pk,bearing_temp_C,motor_current_A,instrument,instrument_cal_due,analyst_note
VIB-001,2026-02-02 06:30,P-4102,drive-end bearing housing,horizontal,48.0,16.9,4.2,1x running speed,0.58,64,12.8,SKF Microlog AX route 4,2026-09-30,1x running speed dominant; acceptable but rising
VIB-002,2026-02-02 06:30,P-4102,drive-end bearing housing,vertical,48.0,16.9,2.4,1x running speed,0.42,63,12.8,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-003,2026-02-02 06:30,P-4102,drive-end bearing housing,axial,48.0,16.9,2.9,1x running speed,0.39,64,12.8,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-004,2026-02-02 06:30,M-4102,motor drive-end bearing,horizontal,48.0,16.9,2.6,1x running speed,0.35,55,12.8,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-005,2026-02-03 19:10,P-4102,drive-end bearing housing,horizontal,49.0,15.8,8.6,1x running speed,0.91,78,13.6,SKF Microlog AX route 4,2026-09-30,high 1x horizontal and axial; coupling dust present
VIB-006,2026-02-03 19:10,P-4102,drive-end bearing housing,vertical,49.0,15.8,5.0,1x running speed,0.66,77,13.6,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-007,2026-02-03 19:10,P-4102,drive-end bearing housing,axial,49.0,15.8,6.0,1x running speed,0.62,78,13.6,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-008,2026-02-03 19:10,M-4102,motor drive-end bearing,horizontal,49.0,15.8,5.4,1x running speed,0.55,69,13.6,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-009,2026-02-04 08:40,P-4102,drive-end bearing housing,horizontal,48.0,16.2,6.7,1x running speed,0.76,73,13.1,SKF Microlog AX route 4,2026-09-30,"after spider change, vibration lower but still above alert"
VIB-010,2026-02-04 08:40,P-4102,drive-end bearing housing,vertical,48.0,16.2,3.9,1x running speed,0.55,72,13.1,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-011,2026-02-04 08:40,P-4102,drive-end bearing housing,axial,48.0,16.2,4.7,1x running speed,0.52,73,13.1,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-012,2026-02-04 08:40,M-4102,motor drive-end bearing,horizontal,48.0,16.2,4.2,1x running speed,0.46,64,13.1,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-013,2026-02-07 09:25,P-4102,drive-end bearing housing,horizontal,48.0,16.4,6.9,1x running speed,0.8,75,13.2,SKF Microlog AX route 4,2026-09-30,suction gauge fitted; no broad bearing noise
VIB-014,2026-02-07 09:25,P-4102,drive-end bearing housing,vertical,48.0,16.4,4.0,1x running speed,0.58,74,13.2,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-015,2026-02-07 09:25,P-4102,drive-end bearing housing,axial,48.0,16.4,4.8,1x running speed,0.54,75,13.2,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-016,2026-02-07 09:25,M-4102,motor drive-end bearing,horizontal,48.0,16.4,4.3,1x running speed,0.48,66,13.2,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-017,2026-02-08 11:35,P-4102,drive-end bearing housing,horizontal,49.0,15.1,9.4,1x running speed,1.03,84,14.0,SKF Microlog AX route 4,2026-09-30,DE housing hot; historian label temporarily shows filler bearing
VIB-018,2026-02-08 11:35,P-4102,drive-end bearing housing,vertical,49.0,15.1,5.5,1x running speed,0.74,83,14.0,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-019,2026-02-08 11:35,P-4102,drive-end bearing housing,axial,49.0,15.1,6.6,1x running speed,0.7,84,14.0,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
VIB-020,2026-02-08 11:35,M-4102,motor drive-end bearing,horizontal,49.0,15.1,5.9,1x running speed,0.62,75,14.0,SKF Microlog AX route 4,2026-09-30,"motor follows pump 1x, lower amplitude; no isolated motor bearing defect tone"
VIB-021,2026-02-10 14:20,P-4102,drive-end bearing housing,horizontal,46.0,14.0,7.7,1x running speed,0.94,79,12.7,SKF Microlog AX route 4,2026-09-30,"after claimed seal job, wet mist still visible at guard drain"
VIB-022,2026-02-10 14:20,P-4102,drive-end bearing housing,vertical,46.0,14.0,4.5,1x running speed,0.68,78,12.7,SKF Microlog AX route 4,2026-09-30,vertical lower than horizontal; supports alignment/soft foot pattern rather than pure bearing defect
VIB-023,2026-02-10 14:20,P-4102,drive-end bearing housing,axial,46.0,14.0,5.4,1x running speed,0.64,79,12.7,SKF Microlog AX route 4,2026-09-30,elevated axial component noted on pump-motor coupling end
